name,description,price,brand,stock,colors,sizes,category,imagePath
Prestige индукциялық плитасы,"1200 Вт қуатты, цифрлық басқарылатын портативті индукциялық плита",2399,Prestige,22,Black,30x28x7 cm,Ас үй техникасы,https://darlastores.netlify.app/assets/Kitchen/7.jpg
Hawkins Contura қысымды пеші,3 л иілген корпусы бар алюминий қысымды пеші,1550,Hawkins,25,Silver,30x20x15 cm,Ас үй техникасы,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbDQQFbqQ8qkf_ssuQQrTxT1GZOQ0PIxd32Q&s
LG 1.5 тонна 5 жұлдызды инверторлы кондиционер,Энергияны үнемдейтін инвертор технологиясы және ақылды функциялары бар 1 тонналық сплит-кондиционер,45000,LG,12,"Silver, White","1.5 тонна, 2 тонна",Кондиционерлер,https://darlastores.netlify.app/assets/Ac/1.jpg
Samsung 1 тонналық 4 жұлдызды инверторлы кондиционер,Энергияны үнемдейтін инвертор технологиясы және ақылды функциялары бар 1 тонналық сплит-кондиционер.,35000,Samsung,14,"Black, Grey","1 тонна, 1.5 тонна",Кондиционерлер,https://darlastores.netlify.app/assets/Ac/2.jpg
Daikin 2 тонналық 5 жұлдызды инверторлы кондиционер,Мыс конденсаторы және PM 25 сүзгісі бар 2 тонналық сплит-кондиционер.,55000,Daikin,10,"Grey, Silver",2 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/3.jpg
Carrier 1.5 тонналық 3 жұлдызды кондиционер,Автоқайталап қосылу және энергия үнемдеу режимі бар терезелік кондиционер.,30000,Carrier,8,"White, Blue",1.5 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/4.jpg
Hitachi 1.2 тонналық 5 жұлдызды инверторлы кондиционер,Frost Wash технологиясы және тыныш жұмысымен ерекшеленетін 1.2 тонналық сплит-кондиционер.,40000,Hitachi,11,"Blue, Silver",1.2 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/5.jpg
Voltas 2 тонналық 4 жұлдызды инверторлы кондиционер,Турбо салқындату және ақылды қашықтан басқару мүмкіндігі бар 2 тонналық сплит-кондиционер.,48000,Voltas,9,"Red, White",2 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/6.jpg
Panasonic 1.5 тонналық 5 жұлдызды инверторлы кондиционер,nanoe-G технологиясы арқылы ауа сапасын жақсартатын 1.5 тонналық сплит-кондиционер.,47000,Panasonic,7,"Green, Silver",1.5 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/7.jpg
Blue Star 1 тонналық 3 жұлдызды кондиционер,Антикоррозиялық жабындысы және жоғары салқындату тиімділігі бар 1 тонналық сплит-кондиционер.,28000,Blue Star,13,"Yellow, White",1 тонна,Кондиционерлер,https://darlastores.netlify.app/assets/Ac/8.jpg
