#,id,brand,colors,created_at,description,image_data,image_name,name,price,rating,sizes,stock,category_id
1,204,LG,"Silver, White",2025-05-08 13:10:34.591365,1.5 Ton split AC with inverter compressor and Wi-Fi control.,17199,1.jpg,LG 1.5 Ton 5-Star Inverter AC,45000,0,"1.5 Ton, 2 Ton",12,51
2,205,Samsung,"Black, Grey",2025-05-08 13:10:35.000440,1 Ton split AC with energy-efficient inverter technology and smart features.,17200,2.jpg,Samsung 1 Ton 4-Star Inverter AC,35000,0,"1 Ton, 1.5 Ton",14,51
3,206,Daikin,"Grey, Silver",2025-05-08 13:10:35.492562,2 Ton split AC with copper condenser and advanced PM2.5 filter.,17201,3.jpg,Daikin 2 Ton 5-Star Inverter AC,55000,0,2 Ton,10,51
4,207,Carrier,"White, Blue",2025-05-08 13:10:35.926138,1.5 Ton window AC with auto restart and energy-saving mode.,17202,4.jpg,Carrier 1.5 Ton 3-Star AC,30000,0,1.5 Ton,8,51
5,208,Hitachi,"Blue, Silver",2025-05-08 13:10:36.375413,1.2 Ton split AC with frost wash technology and silent operation.,17203,5.jpg,Hitachi 1.2 Ton 5-Star Inverter AC,40000,0,1.2 Ton,11,51
6,209,Voltas,"Red, White",2025-05-08 13:10:36.765996,2 Ton split AC with turbo cooling and smart remote control.,17204,6.jpg,Voltas 2 Ton 4-Star Inverter AC,48000,0,2 Ton,9,51
7,210,Panasonic,"Green, Silver",2025-05-08 13:10:37.065546,1.5 Ton split AC with nanoe-G technology for better air quality.,17205,7.jpg,Panasonic 1.5 Ton 5-Star Inverter AC,47000,0,1.5 Ton,7,51
8,211,Blue Star,"Yellow, White",2025-05-08 13:10:37.462003,1 Ton split AC with anti-corrosion coating and high cooling efficiency.,17206,8.jpg,Blue Star 1 Ton 3-Star AC,28000,0,1 Ton,13,51
9,212,Godrej,"Purple, Silver",2025-05-08 13:10:37.908600,1.5 Ton split AC with 6-in-1 convertible modes for versatile cooling.,17207,9.jpg,Godrej 1.5 Ton 4-Star Inverter AC,42000,0,1.5 Ton,5,51
10,213,OGeneral,"Brown, Grey",2025-05-08 13:10:38.590955,2 Ton split AC with advanced air purification and energy-efficient design.,17208,10.jpg,OGeneral 2 Ton 5-Star Inverter AC,60000,0,2 Ton,4,51
11,214,J.K. Rowling,"Red, Blue",2025-05-08 13:10:38.879404,Fantasy novel about a young wizard's journey.,17209,1.jpg,Harry Potter and the Sorcerer's Stone,500,0,"Paperback, Hardcover",20,52
12,215,F. Scott Fitzgerald,"Green, Gold",2025-05-08 13:10:39.182658,A classic novel set in the 1920s about love and wealth.,17210,2.jpg,The Great Gatsby,300,0,"Paperback, Hardcover",15,52
13,216,Harper Lee,"Black, White",2025-05-08 13:10:39.477654,A novel about racial injustice in the Deep South.,17211,3.jpg,To Kill a Mockingbird,400,0,"Paperback, Hardcover",10,52
14,217,George Orwell,"Blue, Grey",2025-05-08 13:10:39.809039,A dystopian novel about totalitarianism and surveillance.,17212,4.jpg,1984,350,0,"Paperback, Hardcover",12,52
15,218,J.D. Salinger,"Orange, White",2025-05-08 13:10:40.115574,A story about teenage angst and alienation.,17213,5.jpg,The Catcher in the Rye,450,0,"Paperback, Hardcover",8,52
16,219,Aldous Huxley,"Yellow, Black",2025-05-08 13:10:40.487232,A dystopian novel about a technologically advanced society.,17214,6.jpg,Brave New World,400,0,"Paperback, Hardcover",9,52
17,220,Paulo Coelho,"Green, Blue",2025-05-08 13:10:40.788333,A philosophical book about following your dreams.,17215,7.jpg,The Alchemist,350,0,"Paperback, Hardcover",14,52
18,221,Ray Bradbury,"Red, Black",2025-05-08 13:10:41.088352,A novel about a future where books are banned.,17216,8.jpg,Fahrenheit 451,300,0,"Paperback, Hardcover",11,52
19,222,J.R.R. Tolkien,"Brown, Green",2025-05-08 13:10:41.393130,A fantasy novel about a hobbit's adventure.,17217,9.jpg,The Hobbit,450,0,"Paperback, Hardcover",13,52
20,223,Fyodor Dostoevsky,"Blue, White",2025-05-08 13:10:41.702048,A psychological novel about morality and redemption.,17218,10.jpg,Crime and Punishment,400,0,"Paperback, Hardcover",7,52
21,224,HP,"Silver, Black",2025-05-08 13:10:42.110672,"14-inch laptop with Intel i7 13th Gen, 16GB RAM, and 1TB SSD with backlit keyboard.",17219,1.jpg,HP Envy 14,95000,0,"14-inch, 15-inch",12,53
22,225,Dell,"Platinum, Silver",2025-05-08 13:10:42.396768,"13.4-inch laptop with Intel i7 12th Gen, 32GB RAM, and 1TB SSD, ultra-slim design.",17220,2.jpg,Dell XPS 13,120000,0,"13.4-inch, 14-inch",10,53
23,226,Lenovo,"Phantom Blue, Black",2025-05-08 13:10:42.807180,"15.6-inch gaming laptop with Ryzen 7, 16GB RAM, and 512GB SSD, RGB keyboard.",17221,3.jpg,Lenovo Legion 5,85000,0,"15.6-inch, 17-inch",8,53
24,227,Apple,"Space Grey, Silver",2025-05-08 13:10:43.096030,"16-inch laptop with M2 Max chip, 32GB RAM, and 1TB SSD, Retina display.",17222,4.jpg,MacBook Pro 16 M2 Max,200000,0,16-inch,5,53
25,228,ASUS,"Black, Red",2025-05-08 13:10:43.584390,"15.6-inch gaming laptop with Intel i9, 32GB RAM, and 1TB SSD, high refresh rate display.",17223,5.jpg,ASUS ROG Strix,130000,0,"15.6-inch, 17-inch",7,53
26,229,Microsoft,"Platinum, Black",2025-05-08 13:10:44.381615,"13.5-inch laptop with Intel i7, 16GB RAM, and 512GB SSD, sleek design.",17224,6.jpg,Microsoft Surface Laptop 5,110000,0,"13.5-inch, 15-inch",9,53
27,230,Razer,"Black, Green",2025-05-08 13:10:44.822751,"15.6-inch gaming laptop with Intel i7, 16GB RAM, and 1TB SSD, customizable RGB lighting.",17225,7.jpg,Razer Blade 15,140000,0,15.6-inch,6,53
28,231,Lenovo,"Black, Grey",2025-05-08 13:10:45.358509,"14-inch business laptop with Intel i5, 16GB RAM, and 512GB SSD, durable design.",17226,8.jpg,Lenovo ThinkPad X1 Carbon,90000,0,14-inch,11,53
29,232,MSI,"Black, Blue",2025-05-08 13:10:45.668556,"17.3-inch gaming laptop with Intel i7, 32GB RAM, and 1TB SSD, high-performance cooling.",17227,9.jpg,MSI Katana 17,110000,0,17.3-inch,4,53
30,233,HP,"Silver, Gold",2025-05-08 13:10:46.306905,"13.3-inch convertible laptop with Intel i7, 16GB RAM, and 1TB SSD, touch screen.",17228,10.jpg,HP Spectre x360,130000,0,"13.3-inch, 14-inch",3,53
31,234,LG,"Silver, Black",2025-05-08 13:10:46.599266,260L frost-free refrigerator with smart inverter compressor.,17229,1.jpg,LG 260L 3-Star Frost Free Refrigerator,30000,0,"260L, 300L",15,54
32,235,Samsung,"White, Grey",2025-05-08 13:10:46.929181,253L top freezer refrigerator with energy-efficient design.,17230,2.jpg,Samsung 253L 2-Star Top Freezer Refrigerator,25000,0,"253L, 300L",10,54
33,236,Whirlpool,"Black, Silver",2025-05-08 13:10:47.425532,265L frost-free refrigerator with adaptive intelligence.,17231,3.jpg,Whirlpool 265L 3-Star Frost Free Refrigerator,28000,0,"265L, 300L",12,54
34,237,Godrej,"Red, Blue",2025-05-08 13:10:47.718914,190L direct cool refrigerator with a stylish design.,17232,4.jpg,Godrej 190L 5-Star Direct Cool Refrigerator,22000,0,"190L, 210L",8,54
35,238,Haier,"Grey, Silver",2025-05-08 13:10:48.075810,320L frost-free refrigerator with a sleek design and LED lighting.,17233,5.jpg,Haier 320L 3-Star Frost Free Refrigerator,32000,0,"320L, 350L",6,54
36,239,Bosch,"Black, White",2025-05-08 13:10:48.602977,252L frost-free refrigerator with VitaFresh technology.,17234,6.jpg,Bosch 252L 4-Star Frost Free Refrigerator,35000,0,"252L, 300L",5,54
37,240,LG,"Silver, Black",2025-05-08 13:10:48.896838,687L side-by-side refrigerator with smart features and ice dispenser.,17235,7.jpg,LG 687L Side-by-Side Refrigerator,80000,0,"687L, 700L",3,54
38,241,Samsung,"Stainless Steel, Black",2025-05-08 13:10:49.202238,501L side-by-side refrigerator with digital inverter technology.,17236,8.jpg,Samsung 501L 4-Star Side-by-Side Refrigerator,75000,0,"501L, 600L",4,54
39,242,Whirlpool,"Blue, Silver",2025-05-08 13:10:49.551474,340L frost-free refrigerator with 6th Sense technology.,17237,9.jpg,Whirlpool 340L 3-Star Frost Free Refrigerator,40000,0,"340L, 400L",7,54
40,243,Godrej,"Green, White",2025-05-08 13:10:49.861937,190L direct cool refrigerator with a stylish design.,17238,10.jpg,Godrej 190L 4-Star Direct Cool Refrigerator,21000,0,"190L, 210L",9,54
41,244,IKEA,"White, Black",2025-05-08 13:10:50.317415,Stylish dresser with six spacious drawers for storage.,17239,1.jpg,IKEA Hemnes 6-Drawer Dresser,15000,0,"60x40x80 cm, 80x50x100 cm",10,55
42,245,Urban Ladder,"Brown, Black",2025-05-08 13:10:50.634680,Modern coffee table with a sleek design and storage space.,17240,2.jpg,Urban Ladder Coffee Table,8000,0,"100x60x45 cm, 120x70x50 cm",15,55
43,246,Home Centre,"Grey, Blue",2025-05-08 13:10:51.028049,Comfortable 3-seater sofa set with plush cushions.,17241,3.jpg,Home Centre Sofa Set,25000,0,"200x90x85 cm, 220x100x90 cm",8,55
44,247,Pepperfry,"Wooden, Glass",2025-05-08 13:10:51.320579,Stylish dining table with seating for six.,17242,4.jpg,Pepperfry Dining Table,20000,0,"150x90x75 cm, 180x100x75 cm",12,55
45,248,FabIndia,"Brown, Natural",2025-05-08 13:10:51.614159,Queen-sized wooden bed with a traditional design.,17243,5.jpg,FabIndia Wooden Bed,30000,0,"160x200 cm, 180x200 cm",5,55
46,249,Hometown,"Grey, Brown",2025-05-08 13:10:51.924371,Comfortable recliner chair with adjustable settings.,17244,6.jpg,Hometown Recliner Chair,12000,0,80x90x100 cm,7,55
47,250,Godrej,"Black, Walnut",2025-05-08 13:10:52.263599,Spacious office desk with multiple drawers.,17245,7.jpg,Godrej Office Desk,15000,0,120x60x75 cm,6,55
48,251,HomeTown,"White, Brown",2025-05-08 13:10:52.671098,Stylish bookshelf with five shelves for storage.,17246,8.jpg,HomeTown Bookshelf,10000,0,80x30x180 cm,9,55
49,252,Pepperfry,"Black, Oak",2025-05-08 13:10:52.951414,Modern TV unit with storage for media devices.,17247,9.jpg,Pepperfry TV Unit,18000,0,150x40x50 cm,4,55
